آزادشان	V$آخت+SUB PRES 3SG PRO3PL*آزد+SUB PRES 3SG PRO3PL
آزادم	V$آخت+SUB PRES 3SG PRO1SG*آزد+SUB PRES 3SG PRO1SG
آزار	V$آزارد+IMP 2SG*آزرد+IMP 2SG
آزارت	V$آزارد+IMP 2SG PRO2SG*آزرد+IMP 2SG PRO2SG
آزارتان	V$آزارد+IMP 2SG PRO2PL*آزرد+IMP 2SG PRO2PL
آزارد	V$آزارد+IND PAST 3SG#IND PRES 3SG*آزرد+IND PRES 3SG
آزاردت	V$آزارد+IND PRES 3SG PRO2SG#IND PAST 3SG PRO2SG*آزرد+IND PRES 3SG PRO2SG
آزاردش	V$آزارد+IND PRES 3SG PRO3SG#IND PAST 3SG PRO3SG*آزرد+IND PRES 3SG PRO3SG
آزاردم	V$آزارد+IND PRES 3SG PRO1SG#IND PAST 1SG#IND PAST 3SG PRO1SG*آزرد+IND PRES 3SG PRO1SG
آزارش	V$آزارد+IMP 2SG PRO3SG*آزرد+IMP 2SG PRO3SG
آزارشان	V$آزارد+IMP 2SG PRO3PL*آزرد+IMP 2SG PRO3PL
آزارم	V$آزارد+IMP 2SG PRO1SG#IND PRES 1SG*آزرد+IMP 2SG PRO1SG#IND PRES 1SG
آزارند	V$آزارد+IND PRES 3PL*آزرد+IND PRES 3PL
آزاری	V$آزارد+IND PRES 2SG*آزرد+IND PRES 2SG
آزاریم	V$آزارد+IND PRES 1PL*آزرد+IND PRES 1PL
آزاریی	V$آزارد+SUB IRR 2SG*آزرد+SUB IRR 2SG
آزت	V$آخت+IMP 2SG PRO2SG*آزد+IMP 2SG PRO2SG
آزتان	V$آخت+IMP 2SG PRO2PL*آزد+IMP 2SG PRO2PL
آزد	V$آخت+IND PRES 3SG*آزد+IND PAST 3SG#IND PRES 3SG
آزده	V$آزد+PP
آزدی	V$آخت+SUB IRR 3SG*آزد+SUB IRR 3SG#SUB IRRP 3SG#IND PAST 2SG
آزرد	V$آزرد+IND PAST 3SG
آزردست	V$آزرد+IND 3SG PERF
آزردم	V$آزرد+IND PAST 3SG PRO1SG#IND PAST 1SG
آزردمت	V$آزرد+IND PAST 1SG PRO2SG
آزردمش	V$آزرد+IND PAST 1SG PRO3SG
آزردمی	V$آزرد+SUB IRRP 1SG
آزردن	V$آزرد+INF
آزردنت	V$آزرد+INF PRO2SG
آزردنش	V$آزرد+INF PRO3SG
آزردنم	V$آزرد+INF PRO1SG
آزرده	V$آزرد+PP
آزرده‌اش	V$آزرد+PP PRO3SG
آزرده‌ام	V$آزرد+IND 1SG PERF#PP PRO1SG
آزرده‌اند	V$آزرد+IND 3PL PERF
آزرده‌ای	V$آزرد+IND 2SG PERF
آزرده‌ایم	V$آزرد+IND 1PL PERF
آزردی	V$آزرد+SUB IRRP 3SG#IND PAST 2SG
آزردیم	V$آزرد+IND PAST 1PL
آزش	V$آخت+IMP 2SG PRO3SG*آزد+IMP 2SG PRO3SG
آزشان	V$آخت+IMP 2SG PRO3PL*آزد+IMP 2SG PRO3PL
آزم	V$آخت+IMP 2SG PRO1SG#IND PRES 1SG*آزد+IMP 2SG PRO1SG#IND PRES 1SG
آزما	V$آزمود+IMP 2SG
آزمای	V$آزمود+IND PRES 2SG#IMP 2SG
آزماید	V$آزمود+IND PRES 2PL#IND PRES 3SG#IMP 2PL
آزمایش	V$آزمود+IMP 2SG PRO3SG
آزمایم	V$آزمود+IMP 2SG PRO1SG#IND PRES 1SG#IND PRES 1PL
آزمایمت	V$آزمود+IND PRES 1PL PRO2SG#IND PRES 1SG PRO2SG
آزمایند	V$آزمود+IND PRES 3PL
آزمایی	V$آزمود+SUB IRR 2SG#IND PRES 2SG
آزماییی	V$آزمود+SUB IRR 2SG
آزمود	V$آزمود+IND PAST 3SG
آزمودست	V$آزمود+IND 3SG PERF
آزمودستی	V$آزمود+IND 2SG PERF2
آزمودستیم	V$آزمود+IND 1PL PERF2
آزمودش	V$آزمود+IND PAST 3SG PRO3SG
آزمودم	V$آزمود+IND PAST 3SG PRO1SG#IND PAST 1SG
آزمودمی	V$آزمود+SUB IRRP 1SG
آزمودن	V$آزمود+INF
آزمودند	V$آزمود+IND PAST 3PL
آزموده	V$آزمود+PP
آزموده‌ام	V$آزمود+IND 1SG PERF#PP PRO1SG
آزموده‌ای	V$آزمود+IND 2SG PERF
آزموده‌ایم	V$آزمود+IND 1PL PERF
آزموده‌ست	V$آزمود+IND 3SG PERF
آزمودی	V$آزمود+SUB IRRP 3SG#IND PAST 2SG
آزمودیم	V$آزمود+IND PAST 1PL
آزند	V$آخت+IND PRES 3PL*آزد+IND PRES 3PL*آزند+IND PAST 3SG#IND PRES 3SG
آزی	V$آخت+IND PRES 2SG*آزد+IND PRES 2SG
آسا	V$آسود+IMP 2SG*آسایید+IMP 2SG
آسای	V$آسود+IND PRES 2SG#IMP 2SG*آسایید+IND PRES 2SG#IMP 2SG
آسایت	V$آسود+IMP 2SG PRO2SG*آسایید+IMP 2SG PRO2SG
آساید	V$آسود+IND PRES 2PL#IND PRES 3SG#IMP 2PL*آسایید+IND PRES 2PL#IND PRES 3SG#IMP 2PL
آسایدش	V$آسود+IND PRES 2PL PRO3SG#IND PRES 3SG PRO3SG#IMP 2PL PRO3SG*آسایید+IMP 2PL PRO3SG#IND PRES 2PL PRO3SG#IND PRES 3SG PRO3SG
آسایدم	V$آسود+IND PRES 3SG PRO1SG#IMP 2PL PRO1SG#IND PRES 2PL PRO1SG*آسایید+IND PRES 3SG PRO1SG#IND PRES 2PL PRO1SG#IMP 2PL PRO1SG
آسایش	V$آسود+IMP 2SG PRO3SG*آسایید+IMP 2SG PRO3SG
آسایم	V$آسود+IMP 2SG PRO1SG#IND PRES 1SG#IND PRES 1PL*آسایید+IMP 2SG PRO1SG#IND PRES 1SG#IND PRES 1PL
آسایی	V$آسود+SUB IRR 2SG#IND PRES 2SG*آسایید+SUB IRR 2SG#IND PRES 2SG
آساییم	V$آسود+IND PRES 2SG PRO1SG#IMP 2SG PRO1SG#IND PRES 1PL*آسایید+IND PRES 2SG PRO1SG#IMP 2SG PRO1SG#IND PRES 1PL
آساییی	V$آسود+SUB IRR 2SG*آسایید+SUB IRR 2SG
آسود	V$آسود+IND PAST 3SG
آسودست	V$آسود+IND 3SG PERF
آسودم	V$آسود+IND PAST 3SG PRO1SG#IND PAST 1SG
آسودمی	V$آسود+SUB IRRP 1SG
آسودن	V$آسود+INF
آسودند	V$آسود+IND PAST 3PL
آسودنش	V$آسود+INF PRO3SG
آسودنم	V$آسود+INF PRO1SG
آسوده	V$آسود+PP
