آ	INT$آ+
احدی	PRO$احد+SG COP2SG#SG YEH
احدیست	PRO$احد+SG YEH COP3SG
احسن	INT$احسن+
احسنت	INT$احسن+ PRO2SG
احقر	PRO$احقر+SG
احمقانه	ADV$احمقانه+
احیانا	ADV$احیانا+
اخ	INT$اخ+
اخشم	INT$اخش+ PRO1SG
ارزان	ADV$ارزان+
ارزانست	ADV$ارزان+ COP3SG
ارزانم	ADV$ارزان+ COP1SG
ارزانند	ADV$ارزان+ COP3PL
ارزانی	ADV$ارزان+ COP2SG
ارزانیم	ADV$ارزان+ COP1PL
از	P$از+
ازآرام	ADV$آرام+PREP 
ازآن	PRO$آن+PREP SG
ازآنک	PRO$آنک+PREP SG
ازآنکه	PRO$آنکه+PREP SG*آن+PREP SG CONJ
ازان	NUM$ان+PREP SG
ازانت	NUM$ان+PREP SG PRO2SG
ازانش	NUM$ان+PREP SG PRO3SG
ازانم	NUM$ان+PREP SG COP1SG#PREP SG PRO1SG
ازانکه	NUM$ان+PREP SG CONJ
ازانی	NUM$ان+PREP SG COP2SG#PREP SG YEH
ازاو	PRO$او+PREP SG
ازایدر	ADV$ایدر+PREP 
ازایشان	PRO$ایشان+PREP SG
ازاین	PRO$این+PREP SG
ازاینها	PRO$اینها+PREP SG*این+PREP PL
ازبر	ADV$ازبر+
ازبرستم	ADV$ازبر+ COP1SG
ازبرم	ADV$ازبر+ COP1SG
ازبس	ADV$بس+PREP 
ازبن	ADV$ازبن+
ازبنه	ADV$ازبنه+
ازبیش	ADV$بیش+PREP 
ازتنگ	ADV$تنگ+PREP 
ازتو	PRO$تو+PREP SG
ازخویش	PRO$خویش+PREP SG
ازدم	ADV$ازدم+
ازسه	NUM$سه+PREP SG
ازشان	P$از+ PRO3PL
ازشما	PRO$شما+PREP SG
ازلا	NUM$لا+PREP SG
ازم	P$از+ PRO1SG
ازما	PRO$ما+PREP SG
ازمان	P$از+ PRO1PL
ازمایش	PRO$ما+PREP SG PRO3SG
ازمن	PRO$من+PREP SG
ازمنت	PRO$من+PREP SG PRO2SG
ازنخست	NUM$نخست+PREP SG&ADV$نخست+PREP 
ازنو	ADV$ازنو+
ازنیک	ADV$نیک+PREP 
ازپر	ADV$پر+PREP 
ازپیش	ADV$پیش+PREP 
ازچه	PRO$چه+PREP SG&ADV$چه+PREP 
ازکسی	PRO$کس+PREP SG COP2SG#PREP SG YEH
ازکه	PRO$که+PREP SG
ازکیها	PRO$کی+PREP PL
ازگاه	ADV$گاه+PREP 
ازیراک	ADV$ازیراک+
اساسا	ADV$اساسا+
استادانه	ADV$استادانه+
استغفرالله	INT$استغفرالله+
استوار	ADV$استوار+
استوارست	ADV$استوار+ COP3SG
استوارم	ADV$استوار+ COP1SG
استواری	ADV$استوار+ COP2SG
اسر	PRO$اسر+SG
اسرها	PRO$اسر+PL
اسری	PRO$اسر+SG COP2SG#SG YEH
اسفا	INT$اسفا+
