آ	INT$آ+
بحفظ	ADV$حفظ+PREP 
بحمدالله	INT$بحمدالله+
بخ	INT$بخ+
بخاصه	ADV$خاصه+PREP 
بخاموشی	ADV$خاموش+PREP  COP2SG
بخت	INT$بخ+ PRO2SG
بختان	INT$بخ+ PRO2PL
بخروار	ADV$خروار+PREP 
بخش	INT$بخ+ PRO3SG
بخشان	INT$بخ+ PRO3PL
بخلوتی	ADV$خلوتی+PREP 
بخم	INT$بخ+ PRO1SG
بخندان	ADV$خندان+PREP 
بخندانم	ADV$خندان+PREP  COP1SG
بخندانند	ADV$خندان+PREP  COP3PL
بخندانی	ADV$خندان+PREP  COP2SG
بخندانید	ADV$خندان+PREP  COP2PL
بخوبی	ADV$خوب+PREP  COP2SG*خوبی+PREP 
بخوش	ADV$خوش+PREP 
بخوشی	ADV$خوش+PREP  COP2SG
بخوشید	ADV$خوش+PREP  COP2PL
بخویش	PRO$خویش+PREP SG
بخویشان	PRO$خویش+PREP PL
بخویشتن	PRO$خویشتن+PREP SG
بخویشم	PRO$خویش+PREP SG COP1SG#PREP SG PRO1SG
بخویشی	PRO$خویش+PREP SG COP2SG#PREP SG YEH
بخیره	ADV$خیره+PREP 
بخیلی	ADV$خیلی+PREP 
بد	ADV$بد+
بدا	INT$بدا+
بدام	INT$بدا+ PRO1SG
بدامان	INT$بدا+ PRO1PL
بدانسته	ADV$دانسته+PREP 
بدانسته‌ام	ADV$دانسته+PREP  COP1SG
بدانسته‌ای	ADV$دانسته+PREP  COP2SG
بدانسته‌ایم	ADV$دانسته+PREP  COP1PL
بدایت	INT$بدا+ PRO2SG
بدایه‌ی	ADV$بدایه+ COP2SG
بدرست	ADV$درست+PREP 
بدرستی	ADV$درست+PREP  COP2SG*درستی+PREP 
بدرهم	ADV$درهم+PREP 
بدست	ADV$بد+ COP3SG
بدستم	ADV$بد+ COP1SG
بدستی	ADV$بد+ COP2SG*دستی+PREP 
بدستیم	ADV$بد+ COP1PL*دستی+PREP  COP1SG
بدشواری	ADV$بدشواری+
بدم	ADV$بد+ COP1SG
بدند	ADV$بد+ COP3PL
بده	NUM$ده+PREP SG
بدهش	NUM$ده+PREP SG PRO3SG
بدهشان	NUM$ده+PREP SG PRO3PL
بدهم	NUM$ده+PREP SG PRO1SG
بده‌ام	NUM$ده+PREP SG COP1SG#PREP SG PRO1SG
بده‌اند	NUM$ده+PREP SG COP3PL
بده‌ای	NUM$ده+PREP SG COP2SG
بده‌ایم	NUM$ده+PREP SG COP1PL
بده‌ست	NUM$ده+PREP SG COP3SG
بده‌ی	NUM$ده+PREP SG EZ#PREP SG COP2SG
بدو	NUM$دو+PREP SG
بدوا	ADV$بدوا+
بدوان	NUM$دو+PREP PL&ADV$دوان+PREP 
بدواند	ADV$بدوا+ COP3PL
بدوانند	NUM$دو+PREP PL COP3PL&ADV$دوان+PREP  COP3PL
بدوانی	NUM$دو+PREP PL YEH#PREP PL COP2SG&ADV$دوان+PREP  COP2SG
بدوانید	NUM$دو+PREP PL COP2PL&ADV$دوان+PREP  COP2PL
بدور	ADV$دور+PREP 
بدورا	NUM$دو+PREP SG POSTP
بدوست	NUM$دو+PREP SG COP3SG
بدوستی	NUM$دو+PREP SG COP2SG
بدوش	NUM$دو+PREP SG PRO3SG&ADV$دوش+PREP 
بدوشان	NUM$دو+PREP SG PRO3PL
بدوشانیم	NUM$دو+PREP SG PRO3PL COP1PL#PREP SG PRO3PL YEH COP1SG
بدوشم	NUM$دو+PREP SG PRO3SG COP1SG&ADV$دوش+PREP  COP1SG
بدوشی	NUM$دو+PREP SG PRO3SG YEH#PREP SG PRO3SG COP2SG&ADV$دوش+PREP  COP2SG
بدوشیم	NUM$دو+PREP SG PRO3SG YEH COP1SG#PREP SG PRO3SG COP1PL&ADV$دوش+PREP  COP1PL
بدوم	NUM$دو+PREP SG COP1SG#PREP SG PRO1SG*دوم+PREP SG&ADV$دوم+PREP 
بدوند	NUM$دو+PREP SG COP3PL
بدوی	NUM$دو+PREP SG EZ#PREP SG COP2SG
بدویت	NUM$دو+PREP SG PRO2SG
بدوید	NUM$دو+PREP SG COP2PL
بدویست	NUM$دویست+PREP SG
بدویم	NUM$دو+PREP SG PRO1SG#PREP SG COP1PL
بدویی	NUM$دو+PREP SG YEH
بدوییم	NUM$دو+PREP SG YEH COP1SG
بدگر	PRO$دگر+PREP SG
بدی	ADV$دی+PREP *بد+ COP2SG
بدید	ADV$بد+ COP2PL
بدیر	ADV$دیر+PREP 
بدیری	ADV$دیر+PREP  COP2SG*دیری+PREP 
بدیست	ADV$دی+PREP  COP3SG
بدیم	ADV$دی+PREP  COP1SG*بد+ COP1PL
بدیهه	ADV$بدیهه+
بدیهه‌ای	ADV$بدیهه+ COP2SG
بدیهه‌ی	ADV$بدیهه+ COP2SG
بدیگر	ADV$دیگر+PREP 
بدیی	ADV$دی+PREP  COP2SG
بدی‌ی	ADV$دی+PREP  COP2SG
بذاته	ADV$بذاته+
بر	P$بر+
برآخر	ADV$آخر+PREP 
برآزاد	ADV$آزاد+PREP 
برآسوده	ADV$آسوده+PREP 
برآن	PRO$آن+PREP SG
برآنست	PRO$آن+PREP SG COP3SG
برآنم	PRO$آن+PREP SG COP1SG#PREP SG PRO1SG
برآنند	PRO$آن+PREP SG COP3PL
برآنها	PRO$آن+PREP PL*آنها+PREP SG
برآنکه	PRO$آنکه+PREP SG*آن+PREP SG CONJ
برآنگه	ADV$آنگه+PREP 
برآنگونه	ADV$آنگونه+PREP 
برآنی	PRO$آن+PREP SG COP2SG#PREP SG YEH
برآنیم	PRO$آن+PREP SG COP1PL#PREP SG YEH COP1SG
برآوری	ADV$آوری+PREP 
برآوریم	ADV$آوری+PREP  COP1SG
براحت	ADV$راحت+PREP 
برادرانه	ADV$برادرانه+
برادروار	ADV$برادروار+
براساید	ADV$راسا+PREP  COP2PL
براست	ADV$راست+PREP 
براستی	ADV$راست+PREP  COP2SG*راستی+PREP *براستی+
برافزون	ADV$افزون+PREP 
بران	NUM$ان+PREP SG
برانا	PRO$انا+PREP SG
براند	NUM$اند+PREP SG&PRO$اند+PREP SG
براندش	NUM$اند+PREP SG PRO3SG&PRO$اند+PREP SG PRO3SG
براندم	NUM$اند+PREP SG COP1SG#PREP SG PRO1SG&PRO$اند+PREP SG COP1SG#PREP SG PRO1SG
براندمی	NUM$اند+PREP SG PRO1SG COP2SG#PREP SG PRO1SG YEH&PRO$اند+PREP SG PRO1SG COP2SG#PREP SG PRO1SG YEH
براندند	NUM$اند+PREP SG COP3PL&PRO$اند+PREP SG COP3PL
براندکی	ADV$اندکی+PREP *اندک+PREP  COP2SG
براندی	NUM$اندی+PREP SG*اند+PREP SG COP2SG#PREP SG YEH&PRO$اند+PREP SG COP2SG#PREP SG YEH
براندیش	NUM$اندی+PREP SG PRO3SG
براندیشم	NUM$اندی+PREP SG PRO3SG COP1SG
براندیشی	NUM$اندی+PREP SG PRO3SG YEH#PREP SG PRO3SG COP2SG
برانست	NUM$ان+PREP SG COP3SG
برانش	NUM$ان+PREP SG PRO3SG
برانم	NUM$ان+PREP SG COP1SG#PREP SG PRO1SG
برانمی	NUM$ان+PREP SG PRO1SG COP2SG#PREP SG PRO1SG YEH
برانند	NUM$ان+PREP SG COP3PL
برانکه	NUM$ان+PREP SG CONJ
برانی	NUM$ان+PREP SG COP2SG#PREP SG YEH
برانید	NUM$ان+PREP SG COP2PL
برانیم	NUM$ان+PREP SG COP1PL#PREP SG YEH COP1SG
براو	PRO$او+PREP SG
براوهای	PRO$او+PREP PL EZ#PREP PL COP2SG
براوی	PRO$او+PREP SG EZ#PREP SG COP2SG*اوی+PREP SG
برایشان	PRO$ایشان+PREP SG
براین	PRO$این+PREP SG
براینت	PRO$این+PREP SG PRO2SG
براینی	PRO$این+PREP SG COP2SG#PREP SG YEH
برایگان	ADV$برایگان+*رایگان+PREP 
بربد	ADV$بد+PREP 
بربدستی	ADV$بد+PREP  COP2SG
بربسی	ADV$بسی+PREP *بس+PREP  COP2SG
بربهم	ADV$بهم+PREP 
برت	P$بر+ PRO2SG
برتر	ADV$برتر+
برترست	ADV$برتر+ COP3SG
برترم	ADV$برتر+ COP1SG
برترند	ADV$برتر+ COP3PL
برتری	ADV$برتر+ COP2SG
برتریم	ADV$برتر+ COP1PL
برتند	ADV$تند+PREP 
برتنگ	ADV$تنگ+PREP 
برتو	PRO$تو+PREP SG
برتوان	PRO$تو+PREP PL
برتوانم	PRO$تو+PREP PL COP1SG#PREP PL PRO1SG
برتوانی	PRO$تو+PREP PL YEH#PREP PL COP2SG
برتوست	PRO$تو+PREP SG COP3SG
برتپند	ADV$تپ+PREP  COP3PL
برحال	ADV$حال+PREP 
برخوانا	ADV$خوانا+PREP 
برخوب	ADV$خوب+PREP 
برخوشست	ADV$خوش+PREP  COP3SG
برخوشی	ADV$خوش+PREP  COP2SG
برخویش	PRO$خویش+PREP SG
برخویشتن	PRO$خویشتن+PREP SG
برخی	PRO$برخی+SG
برخیره	ADV$خیره+PREP 
برخیستم	PRO$برخی+SG COP1SG
بردستی	ADV$دستی+PREP 
برده	NUM$ده+PREP SG
بردهم	NUM$ده+PREP SG PRO1SG
برده‌ئی	NUM$ده+PREP SG YEH
برده‌است	NUM$ده+PREP SG COP3SG
برده‌ام	NUM$ده+PREP SG COP1SG#PREP SG PRO1SG
برده‌اند	NUM$ده+PREP SG COP3PL
برده‌ای	NUM$ده+PREP SG COP2SG
برده‌ایم	NUM$ده+PREP SG COP1PL
برده‌ست	NUM$ده+PREP SG COP3SG
برده‌ها	NUM$ده+PREP PL
برده‌ی	NUM$ده+PREP SG EZ#PREP SG COP2SG
برده‌یی	NUM$ده+PREP SG YEH
بردو	NUM$دو+PREP SG
بردوانند	NUM$دو+PREP PL COP3PL&ADV$دوان+PREP  COP3PL
بردوست	NUM$دو+PREP SG COP3SG
بردوش	NUM$دو+PREP SG PRO3SG&ADV$دوش+PREP 
بردوشم	NUM$دو+PREP SG PRO3SG COP1SG&ADV$دوش+PREP  COP1SG
بردوم	NUM$دو+PREP SG COP1SG#PREP SG PRO1SG*دوم+PREP SG&ADV$دوم+PREP 
بردوی	NUM$دو+PREP SG EZ#PREP SG COP2SG
بردوید	NUM$دو+PREP SG COP2PL
بردگان	NUM$ده+PREP PL
بردی	ADV$دی+PREP 
بردیست	ADV$دی+PREP  COP3SG
بردیم	ADV$دی+PREP  COP1SG
بردیگری	ADV$دیگر+PREP  COP2SG
برسختم	ADV$سخت+PREP  COP1SG
برسخته	ADV$سخته+PREP 
برسد	NUM$سد+PREP SG
برسردست	ADV$سرد+PREP  COP3SG
برسری	ADV$برسری+*سری+PREP 
برسی	NUM$سی+PREP SG
برسیم	NUM$سی+PREP SG COP1SG#PREP SG PRO1SG
برش	P$بر+ PRO3SG
برشان	P$بر+ PRO3PL
برشست	NUM$شست+PREP SG
برشماست	PRO$شما+PREP SG COP3SG
برصبح	ADV$صبح+PREP 
برعقب	ADV$عقب+PREP 
برعکس	ADV$برعکس+
برفزود	ADV$برفزود+
برفزودی	ADV$برفزود+ COP2SG
برفزونی	ADV$برفزون+ COP2SG*فزون+PREP  COP2SG
برقرص	ADV$قرص+PREP 
برقی	ADV$برقی+
برقیست	ADV$برقی+ COP3SG
برقیم	ADV$برقی+ COP1SG
برم	P$بر+ PRO1SG
برما	PRO$ما+PREP SG
برماست	PRO$ما+PREP SG COP3SG
برماند	PRO$ما+PREP SG COP3PL
برمردم	ADV$مردم+PREP 
برملا	ADV$ملا+PREP 
برملاست	ADV$ملا+PREP  COP3SG
برملام	ADV$ملا+PREP  COP1SG
برمن	PRO$من+PREP SG
برمنست	PRO$من+PREP SG COP3SG
برمنش	PRO$من+PREP SG PRO3SG
برمک	ADV$مک+PREP 
برمکی	ADV$مک+PREP  COP2SG
برنقد	ADV$نقد+PREP 
برنه	NUM$نه+PREP SG
برنهان	ADV$نهان+PREP 
برنهم	NUM$نه+PREP SG PRO1SG
برنه‌ای	NUM$نه+PREP SG COP2SG
برنکند	ADV$نک+PREP  COP3PL
برنیک	ADV$نیک+PREP 
برهم	ADV$برهم+
برهمند	ADV$برهم+ COP3PL
برهمی	ADV$برهم+ COP2SG
بروزی	ADV$روزی+PREP 
برپر	ADV$پر+PREP 
برپرم	ADV$پر+PREP  COP1SG
برپرند	ADV$پر+PREP  COP3PL
برپری	ADV$پری+PREP *پر+PREP  COP2SG
برپرید	ADV$پر+PREP  COP2PL
برپریم	ADV$پری+PREP  COP1SG*پر+PREP  COP1PL
برچنان	ADV$چنان+PREP 
برچنین	PRO$چنین+PREP SG&ADV$چنین+PREP 
برچه	PRO$چه+PREP SG&ADV$چه+PREP 
برچه‌ایم	PRO$چه+PREP SG COP1PL&ADV$چه+PREP  COP1PL
برچی	PRO$چی+PREP SG
برچیند	PRO$چی+PREP SG COP3PL
برک	ADV$رک+PREP 
برکات	PRO$که+PREP PL
برکاتی	PRO$که+PREP PL YEH#PREP PL COP2SG
برکس	PRO$کس+PREP SG
برکسی	PRO$کس+PREP SG COP2SG#PREP SG YEH
برکشیده	ADV$کشیده+PREP 
برکشیده‌ام	ADV$کشیده+PREP  COP1SG
برکشیده‌اند	ADV$کشیده+PREP  COP3PL
برکشیده‌ای	ADV$کشیده+PREP  COP2SG
برکشیده‌ی	ADV$کشیده+PREP  COP2SG
برکم	ADV$کم+PREP *رک+PREP  COP1SG
برکمند	ADV$کم+PREP  COP3PL
برکند	ADV$کند+PREP *رک+PREP  COP3PL
برکندست	ADV$کند+PREP  COP3SG
برکندم	ADV$کند+PREP  COP1SG
برکندند	ADV$کند+PREP  COP3PL
برکندی	ADV$کند+PREP  COP2SG
برکندیم	ADV$کند+PREP  COP1PL
برکه	PRO$که+PREP SG
برکه‌ام	PRO$که+PREP SG COP1SG#PREP SG PRO1SG
برکه‌ش	PRO$که+PREP SG PRO3SG
برکه‌های	PRO$که+PREP PL EZ#PREP PL COP2SG
برکه‌ی	PRO$که+PREP SG EZ#PREP SG COP2SG
برکی	PRO$کی+PREP SG&ADV$کی+PREP *رک+PREP  COP2SG
برکیانی	PRO$کی+PREP PL YEH#PREP PL COP2SG
برکیست	PRO$کی+PREP SG COP3SG&ADV$کی+PREP  COP3SG
برگاه	ADV$گاه+PREP 
برگران	ADV$گران+PREP 
برگسسته	ADV$گسسته+PREP 
برگشاد	ADV$گشاد+PREP 
برگشادستم	ADV$گشاد+PREP  COP1SG
برگشادستی	ADV$گشاد+PREP  COP2SG
برگشادم	ADV$گشاد+PREP  COP1SG
برگشادند	ADV$گشاد+PREP  COP3PL
برگشاده	ADV$گشاده+PREP 
برگشاده‌ای	ADV$گشاده+PREP  COP2SG
برگشاده‌ست	ADV$گشاده+PREP  COP3SG
برگشادی	ADV$گشاد+PREP  COP2SG
برگشادیم	ADV$گشاد+PREP  COP1PL
برگنگ	ADV$گنگ+PREP 
برگهی	ADV$گهی+PREP 
برگویی	ADV$گویی+PREP 
بزبانی	ADV$زبانی+PREP 
بزمستان	ADV$زمستان+PREP 
بزودی	ADV$زود+PREP  COP2SG*بزودی+
بزور	ADV$بزور+
بزیاد	ADV$زیاد+PREP 
بزیادی	ADV$زیاد+PREP  COP2SG
بس	ADV$بس+
بسا	ADV$بسا+
بسام	ADV$بسا+ COP1SG
بساند	ADV$بسا+ COP3PL
بسای	ADV$بسا+ COP2SG
بساید	ADV$بسا+ COP2PL
بسایم	ADV$بسا+ COP1PL
بسحرگاه	ADV$سحرگاه+PREP 
بسختند	ADV$سخت+PREP  COP3PL
بسخته‌ام	ADV$سخته+PREP  COP1SG
بسختی	ADV$سخت+PREP  COP2SG*بسختی+
بسختید	ADV$سخت+PREP  COP2PL
بسختیم	ADV$سخت+PREP  COP1PL*بسختی+ COP1SG
بسد	NUM$سد+PREP SG
بسدش	NUM$سد+PREP SG PRO3SG
بسدی	NUM$سد+PREP SG COP2SG#PREP SG YEH
بسرسری	ADV$سرسری+PREP 
بسری	ADV$سری+PREP 
بسریم	ADV$سری+PREP  COP1SG
بسزا	ADV$بسزا+
بسست	ADV$سست+PREP *بس+ COP3SG
بسستم	ADV$سست+PREP  COP1SG*بس+ COP1SG
بسستی	ADV$سست+PREP  COP2SG*بس+ COP2SG
بسفت	ADV$سفت+PREP 
بسفتم	ADV$سفت+PREP  COP1SG
بسم	ADV$بس+ COP1SG
بسند	ADV$بس+ COP3PL
بسه	NUM$سه+PREP SG
بسهم	NUM$سه+PREP SG PRO1SG
بسگانم	NUM$سه+PREP PL COP1SG#PREP PL PRO1SG
بسی	NUM$سی+PREP SG&ADV$بسی+*بس+ COP2SG
بسیار	ADV$بسیار+
بسیارست	ADV$بسیار+ COP3SG
بسیارم	ADV$بسیار+ COP1SG
بسیارند	ADV$بسیار+ COP3PL
بسیاری	PRO$بسیاری+SG&ADV$بسیار+ COP2SG
بسیاریت	PRO$بسیاری+SG PRO2SG
بسیارید	ADV$بسیار+ COP2PL
بسیاریم	PRO$بسیاری+SG PRO1SG#SG COP1SG&ADV$بسیار+ COP1PL
بسیت	NUM$سی+PREP SG PRO2SG
بسیرا	NUM$سی+PREP SG POSTP
بسیست	NUM$سی+PREP SG COP3SG&ADV$بسی+ COP3SG
بسیش	NUM$سی+PREP SG PRO3SG
بسیم	NUM$سی+PREP SG COP1SG#PREP SG PRO1SG&ADV$بسی+ COP1SG*بس+ COP1PL
بسیمای	ADV$سیما+PREP  COP2SG
بسی‌ست	NUM$سی+PREP SG COP3SG&ADV$بسی+ COP3SG
بس‌ست	ADV$بس+ COP3SG
بش	P$ب+ PRO3SG
بشادمانی	ADV$شادمان+PREP  COP2SG
بشان	P$ب+ PRO3PL
بشب	ADV$شب+PREP 
بشتابی	ADV$شتابی+PREP 
بشتابیم	ADV$شتابی+PREP  COP1SG
بشست	NUM$شست+PREP SG
بشستت	NUM$شست+PREP SG PRO2SG
بشستش	NUM$شست+PREP SG PRO3SG
بشستم	NUM$شست+PREP SG COP1SG#PREP SG PRO1SG
بشستند	NUM$شست+PREP SG COP3PL
بشستی	NUM$شست+PREP SG COP2SG#PREP SG YEH
بشستیم	NUM$شست+PREP SG COP1PL#PREP SG YEH COP1SG
بشش	NUM$شش+PREP SG
بشلی	ADV$شل+PREP  COP2SG
بشما	PRO$شما+PREP SG
بشمرده	ADV$شمرده+PREP 
بشمرده‌ام	ADV$شمرده+PREP  COP1SG
بشیرین	ADV$شیرین+PREP 
بشیرینی	ADV$شیرین+PREP  COP2SG
بصبح	ADV$صبح+PREP 
بصبحدم	ADV$صبحدم+PREP 
بصد	NUM$صد+PREP SG
بضعف	ADV$ضعف+PREP 
بطعنه	ADV$بطعنه+
بطعنه‌ی	ADV$بطعنه+ COP2SG
بظاهر	ADV$بظاهر+
بعاده	ADV$عاده+PREP 
بعجب	ADV$عجب+PREP 
بعد	ADV$بعد+
بعدست	ADV$بعد+ COP3SG
بعدل	ADV$عدل+PREP 
بعدم	ADV$بعد+ COP1SG
بعدند	ADV$بعد+ COP3PL
بعدها	ADV$بعدها+
بعدی	ADV$بعد+ COP2SG
بعض	PRO$بعض+SG
بعضها	PRO$بعض+PL
بعضی	PRO$بعضی+SG*بعض+SG COP2SG#SG YEH
بعمد	ADV$بعمد+
بعمدا	ADV$بعمدا+*عمدا+PREP 
بعنف	ADV$بعنف+
بعیان	ADV$عیان+PREP 
بعینه	ADV$بعینه+
بعینه‌ی	ADV$بعینه+ COP2SG
بغایت	ADV$بغایت+
بغلط	ADV$بغلط+
بغلطید	ADV$بغلط+ COP2PL
بغلطیم	ADV$بغلط+ COP1PL
بفردا	ADV$فردا+PREP 
بفشرده	ADV$فشرده+PREP 
بفور	ADV$فور+PREP 
بقائم	ADV$قائم+PREP 
بقاصد	ADV$قاصد+PREP 
بقاصدی	ADV$قاصد+PREP  COP2SG
بقایم	ADV$قایم+PREP 
بقصد	ADV$بقصد+
بقلابی	ADV$قلابی+PREP 
بلا	NUM$لا+PREP SG
بلائی	NUM$لا+PREP SG YEH
بلائیست	NUM$لا+PREP SG YEH COP3SG
بلائیم	NUM$لا+PREP SG YEH COP1SG
بلات	NUM$لا+PREP SG PRO2SG
بلاست	NUM$لا+PREP SG COP3SG
بلاش	NUM$لا+PREP SG PRO3SG
بلاشان	NUM$لا+PREP SG PRO3PL
بلاشک	ADV$لاشک+PREP 
بلام	NUM$لا+PREP SG COP1SG#PREP SG PRO1SG
بلاها	NUM$لا+PREP PL
بلاهاش	NUM$لا+PREP PL PRO3SG
بلاهای	NUM$لا+PREP PL EZ#PREP PL COP2SG
بلای	NUM$لا+PREP SG EZ#PREP SG COP2SG
بلایت	NUM$لا+PREP SG PRO2SG
بلایش	NUM$لا+PREP SG PRO3SG
بلایم	NUM$لا+PREP SG PRO1SG#PREP SG COP1PL
بلایی	NUM$لا+PREP SG YEH
بلاییست	NUM$لا+PREP SG YEH COP3SG
بلاییم	NUM$لا+PREP SG YEH COP1SG
بلایی‌ست	NUM$لا+PREP SG YEH COP3SG
بلق	INT$بلق+
بلند	ADV$بلند+
بلندست	ADV$بلند+ COP3SG
بلندم	ADV$بلند+ COP1SG
بلندند	ADV$بلند+ COP3PL
بلندی	ADV$بلند+ COP2SG
بلندید	ADV$بلند+ COP2PL
بلندیم	ADV$بلند+ COP1PL
بلک	NUM$لک+PREP SG
بم	P$ب+ PRO1SG
بما	PRO$ما+PREP SG
بمات	PRO$ما+PREP SG PRO2SG
بماتم	PRO$ما+PREP SG PRO2SG COP1SG
بمان	P$ب+ PRO1PL
بماند	PRO$ما+PREP SG COP3PL
بمدام	ADV$مدام+PREP 
بمردم	ADV$مردم+PREP 
بمن	PRO$من+PREP SG
بمنتست	PRO$من+PREP SG PRO2SG COP3SG
بمنش	PRO$من+PREP SG PRO3SG
بمنی	PRO$من+PREP SG COP2SG#PREP SG YEH
بمکی	ADV$مک+PREP  COP2SG
بمکید	ADV$مک+PREP  COP2PL
بنات	NUM$نه+PREP PL
بناتست	NUM$نه+PREP PL COP3SG
بناتی	NUM$نه+PREP PL YEH#PREP PL COP2SG
بناحق	ADV$بناحق+*ناحق+PREP 
بناخواه	ADV$ناخواه+PREP 
بناچار	ADV$ناچار+PREP 
بناگاه	ADV$بناگاه+
بناگاهان	ADV$ناگاهان+PREP 
بناگه	ADV$بناگه+*ناگه+PREP 
بنده‌وار	ADV$بنده‌وار+
بنزدیک	ADV$نزدیک+PREP 
بنزدیکی	ADV$نزدیک+PREP  COP2SG
بنه	NUM$نه+PREP SG
بنهان	ADV$نهان+PREP 
بنهایت	ADV$نهایت+PREP 
بنهفته	ADV$نهفته+PREP 
بنهفته‌اند	ADV$نهفته+PREP  COP3PL
بنهفته‌ای	ADV$نهفته+PREP  COP2SG
بنهم	NUM$نه+PREP SG PRO1SG
بنه‌ای	NUM$نه+PREP SG COP2SG
بنه‌ی	NUM$نه+PREP SG EZ#PREP SG COP2SG
بنوبت	ADV$بنوبت+
بنک	ADV$نک+PREP 
بنگان	NUM$نه+PREP PL
بنیک	ADV$نیک+PREP 
بنیکو	ADV$نیکو+PREP 
بنیکی	ADV$نیک+PREP  COP2SG
به	INT$به+&ADV$به+
بهت	INT$به+ PRO2SG
بهتان	INT$به+ PRO2PL
بهتر	ADV$بهتر+
بهترست	ADV$بهتر+ COP3SG
بهترم	ADV$بهتر+ COP1SG
بهترند	ADV$بهتر+ COP3PL
بهتری	ADV$بهتر+ COP2SG
بهتریم	ADV$بهتر+ COP1PL
بهستی	ADV$به+ COP2SG
بهش	INT$به+ PRO3SG
بهم	INT$به+ PRO1SG&ADV$بهم+
بهمان	INT$به+ PRO1PL&PRO$بهمان+SG
بهمانم	PRO$بهمان+SG PRO1SG#SG COP1SG
بهمانی	PRO$بهمان+SG COP2SG#SG YEH
بهمانیست	PRO$بهمان+SG YEH COP3SG
بهمست	ADV$بهم+ COP3SG
بهم‌ست	ADV$بهم+ COP3SG
بهنگام	ADV$بهنگام+
به‌اند	ADV$به+ COP3PL
به‌ای	ADV$به+ COP2SG
به‌ست	ADV$به+ COP3SG
به‌ی	ADV$به+ COP2SG
بویژه	ADV$بویژه+
بپا	INT$بپا+
بپات	INT$بپا+ PRO2SG
بپاش	INT$بپا+ PRO3SG
بپاکی	ADV$پاک+PREP  COP2SG
بپایت	INT$بپا+ PRO2SG
بپایش	INT$بپا+ PRO3SG
بپایم	INT$بپا+ PRO1SG
بپر	ADV$پر+PREP 
بپراکنده‌ام	ADV$پراکنده+PREP  COP1SG
بپراکنده‌ست	ADV$پراکنده+PREP  COP3SG
بپرست	ADV$پر+PREP  COP3SG
بپرستم	ADV$پر+PREP  COP1SG
بپرستند	ADV$پر+PREP  COP3PL
بپرستی	ADV$پر+PREP  COP2SG
بپرستید	ADV$پر+PREP  COP2PL
بپرستیم	ADV$پر+PREP  COP1PL
بپرم	ADV$پر+PREP  COP1SG
بپرند	ADV$پر+PREP  COP3PL
بپری	ADV$پری+PREP *پر+PREP  COP2SG
بپرید	ADV$پر+PREP  COP2PL
بپریم	ADV$پری+PREP  COP1SG*پر+PREP  COP1PL
بپس	ADV$پس+PREP 
بپست	ADV$پست+PREP 
بپستی	ADV$پست+PREP  COP2SG
بپنجم	NUM$پنج+PREP SG COP1SG#PREP SG PRO1SG
بپوشیده	ADV$پوشیده+PREP 
بپوشیده‌ای	ADV$پوشیده+PREP  COP2SG
بپیش	ADV$پیش+PREP 
بپیوسته	ADV$پیوسته+PREP 
بچابکی	ADV$چابک+PREP  COP2SG
بچار	NUM$چار+PREP SG
بچالاکی	ADV$چالاک+PREP  COP2SG
بچراند	ADV$چرا+PREP  COP3PL
بچستی	ADV$چست+PREP  COP2SG
بچنان	ADV$چنان+PREP 
بچند	NUM$چند+PREP SG&ADV$چند+PREP 
بچندان	NUM$چند+PREP PL&ADV$چندان+PREP 
بچنین	PRO$چنین+PREP SG&ADV$چنین+PREP 
بچه	PRO$چه+PREP SG&ADV$چه+PREP 
بچه‌ئی	PRO$چه+PREP SG YEH
بچه‌ام	PRO$چه+PREP SG COP1SG#PREP SG PRO1SG&ADV$چه+PREP  COP1SG
بچه‌ای	PRO$چه+PREP SG COP2SG&ADV$چه+PREP  COP2SG
بچه‌ایم	PRO$چه+PREP SG COP1PL&ADV$چه+PREP  COP1PL
بچه‌های	PRO$چه+PREP PL EZ#PREP PL COP2SG
بچه‌ی	PRO$چه+PREP SG EZ#PREP SG COP2SG&ADV$چه+PREP  COP2SG
بچون	ADV$چون+PREP 
بچکی	ADV$چکی+PREP 
بچگان	PRO$چه+PREP PL
بچگانت	PRO$چه+PREP PL PRO2SG
بچگانست	PRO$چه+PREP PL COP3SG
بچگانش	PRO$چه+PREP PL PRO3SG
بچگانشان	PRO$چه+PREP PL PRO3PL
بچگانند	PRO$چه+PREP PL COP3PL
بچیست	PRO$چیست+PREP SG*چی+PREP SG COP3SG
بچیند	PRO$چی+PREP SG COP3PL
بکجا	PRO$کجا+PREP SG&ADV$کجا+PREP 
بکجائیم	PRO$کجا+PREP SG YEH COP1SG
بکجاست	PRO$کجا+PREP SG COP3SG&ADV$کجا+PREP  COP3SG
بکرها	ADV$کرها+PREP 
بکس	PRO$کس+PREP SG
بکسی	PRO$کس+PREP SG COP2SG#PREP SG YEH
بکش	ADV$بکش+
بکشم	ADV$بکش+ COP1SG
بکشند	ADV$بکش+ COP3PL
بکشی	ADV$بکش+ COP2SG
بکشید	ADV$بکش+ COP2PL
بکشیده	ADV$کشیده+PREP 
بکشیم	ADV$بکش+ COP1PL
بکل	PRO$کل+PREP SG
بکلی	PRO$کل+PREP SG COP2SG#PREP SG YEH&ADV$بکلی+*کلی+PREP 
بکم	ADV$کم+PREP 
بکمال	ADV$بکمال+
بکماهی	ADV$کماهی+PREP 
بکمتر	ADV$کمتر+PREP 
بکمند	ADV$کم+PREP  COP3PL
